host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Bos grunniens	Bos	grunniens		NA	Cetartiodactyla	Bovidae	Asia	Asia	yes	IV	Picornaviridae	foot and mouth disease virus		75	4	<=5	3	captive	2014	2014	2014	Abubakar et al, 2015	2015	2	BP
NA	NA	NA		NA	Carnivora	Felidae	South America	South America	yes	VI	Retroviridae	feline leukemia virus		0	41	<=50	0	captive	1996-1998	1996	1998	Filoni et al, 2003	2003	1	BP
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Europe	no	VI	Retroviridae	feline immunodeficiency virus		0	3	<=5	0	captive	2004-2013	2004	2013	Junginger et al, 2015	2015	2	BP
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Europe	no	VI	Retroviridae	feline immunodeficiency virus		57.14	7	<=10	4	captive	2004-2013	2004	2013	Junginger et al, 2015	2015	2	BP
Panthera pardus	Panthera	pardus		VU	Carnivora	Felidae	Africa	Europe	no	VI	Retroviridae	feline immunodeficiency virus		0	8	<=10	0	captive	2004-2013	2004	2013	Junginger et al, 2015	2015	2	BP
Panthera tigris	Panthera	tigris		EN	Carnivora	Felidae	Asia	Europe	no	VI	Retroviridae	feline immunodeficiency virus		0	18	<=50	0	captive	2004-2013	2004	2013	Junginger et al, 2015	2015	2	BP
Puma concolor	Puma	concolor		LC	Carnivora	Felidae	"North America; South America"	Europe	no	VI	Retroviridae	feline immunodeficiency virus		0	2	<=5	0	captive	2004-2013	2004	2013	Junginger et al, 2015	2015	2	BP
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Asia	no	I	Herpesviridae	bovine herpesvirus		0	21	<=50	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Asia	yes	I	Herpesviridae	bovine herpesvirus		0	8	<=10	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	I	Herpesviridae	bovine herpesvirus		27.27272727	11	<=50	3	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe, Asia	Asia	yes	I	Herpesviridae	bovine herpesvirus		25	8	<=10	2	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	Africa, Asia	Asia	yes	I	Herpesviridae	bovine herpesvirus		0	3	<=5	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Hydropotes inermis	Hydropotes	inermis		VU	Cetartiodactyla	Cervidae	Asia	Asia	yes	I	Herpesviridae	bovine herpesvirus		0	4	<=5	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	Africa	Asia	no	I	Herpesviridae	bovine herpesvirus		0	9	<=10	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Asia	no	I	Herpesviridae	bovine herpesvirus	1	0	5	<=5	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Asia	no	IV	Flaviviridae	bovine viral diarrhea virus		0	21	<=50	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Asia	yes	IV	Flaviviridae	bovine viral diarrhea virus		0	8	<=10	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	IV	Flaviviridae	bovine viral diarrhea virus		0	11	<=50	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe, Asia	Asia	yes	IV	Flaviviridae	bovine viral diarrhea virus		0	8	<=10	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	Africa, Asia	Asia	yes	IV	Flaviviridae	bovine viral diarrhea virus		0	3	<=5	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Hydropotes inermis	Hydropotes	inermis		VU	Cetartiodactyla	Cervidae	Asia	Asia	yes	IV	Flaviviridae	bovine viral diarrhea virus		0	4	<=5	0	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	Africa	Asia	no	IV	Flaviviridae	bovine viral diarrhea virus		11.11111111	9	<=10	1	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Asia	no	IV	Flaviviridae	bovine viral diarrhea virus		60	5	<=5	3	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Asia	no	IV	Coronaviridae	feline coronavirus		100	2	<=5	2	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Asia	no	IV	Coronaviridae	feline coronavirus		50	4	<=5	2	captive	2014	2014	2014	Mahmoud, 2015	2015	3	BP
NA	NA	NA		NA	Primates	NA	Central America	South America	no	VI	Retroviridae	simian foamy virus		34.6	78	>50	27	captive	NA	NA	NA	Muniz et al, 2015	2015	4	BP
NA	NA	NA		NA	Primates	NA	Central America	South America	no	VI	Retroviridae	simian foamy virus		61	62	>50	38	captive	NA	NA	NA	Muniz et al, 2015	2015	4	BP
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		15.3846154	13	<=50	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		4.76190476	21	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Alcelaphus buselaphus	Alcelaphus	buselaphus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		75	4	<=5	3	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		73.1707317	41	<=50	30	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	17	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		2.22222222	45	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	16	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bison bison	Bison	bison		NT	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		14.2857143	14	<=50	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		6.25	16	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
