host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Bos grunniens	Bos	grunniens		NA	Cetartiodactyla	Bovidae	Asia	Asia	yes	zoo	no	IV	Picornaviridae	foot and mouth disease virus		4	<=5	3	captive	2014	2014	2014			Abubakar et al, 2015	2015	2	BP	animals showing clinical signs	2022
Herpailurus yaguarondi	Herpailurus	yagouaroundi		LC	Carnivora	Felidae	South America	South America	yes	zoo	no	VI	Retroviridae	feline leukemia virus		26	<=50	0	captive	1996-1998	1996	1998	19	anesthetized	Filoni et al, 2003	2003	1	BP	ok	2022
Leopardus pardalis	Leopardus	pardalis		LC	Carnivora	Felidae	South America	South America	yes	zoo	no	VI	Retroviridae	feline leukemia virus		38	<=50	0	captive	1996-1998	1996	1998	19	anesthetized	Filoni et al, 2003	2003	1	BP	ok	2022
Leopardus tigrinus	Leopardus	tigrinus		VU	Carnivora	Felidae	South America	South America	yes	zoo	no	VI	Retroviridae	feline leukemia virus		33	<=50	0	captive	1996-1998	1996	1998	19	anesthetized	Filoni et al, 2003	2003	1	BP	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Africa	yes			I	Herpesviridae	equine herpesvirus	9	17	<=50	2	wild	NA	2010	2010			Abdelgawad et al, 2015	2015	1	JV	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Africa	yes			I	Herpesviridae	equine herpesvirus	1	17	<=50	1	wild	NA	2010	2010			Abdelgawad et al, 2015	2015	1	JV	ok	2022
Leopardus wiedii	Leopardus	wiedii		NT	Carnivora	Felidae	South America	South America	yes	zoo	no	VI	Retroviridae	feline leukemia virus		6	<=10	0	captive	1996-1998	1996	1998	19	anesthetized	Filoni et al, 2003	2003	1	BP	ok	2022
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	VI	Retroviridae	feline immunodeficiency virus		3	<=5	0	captive	2004-2013	2004	2013			Junginger et al, 2015	2015	5	BP	dead animals (multiple causes)	2022
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	VI	Retroviridae	feline leukemia virus		3	<=5	0	captive	2004-2013	2004	2013			Junginger et al, 2015	2015	5	BP	dead animals (multiple causes)	2022
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	12	<=50	4	domestic	NA	1994	2004			Abdelgawad et al, 2015	2015	1	JV	ok	2022
