v_class	v_fam	v_genus	v_sp	v_strain	nb_serotypes	risk_to_host	system_infected	main_reservoir_family	main_reservoir_genus	highest_know_host_clade	vector	vector_detail	disease	risk_to_human	countr_origin	year_discovery	main_source
I	Herpesviridae	Macavirus	alcelaphine herpesvirus	1	1	lethal	multisystemic	Bovidae	Connochaetes	Ungulata	direct contact	oronasal secretions	Malignant catarrhal fever	no	africa	1960	https://doi.org/10.1371/journal.pone.0124121
III	Reoviridae	Orbivirus	bluetongue virus	28	35	acute	vascular	Bovidae	Ovis	Ungulata	arthropod	Culicoides	bluetongue	no	africa	1910	https://www.tandfonline.com/doi/full/10.1080/01652176.2020.1831708
I	Herpesviridae	Varicellovirus	bovine herpesvirus			mild	respiratory				direct contact	sexual, oronasal	multiple	no			
IV	Flaviviridae	Pestivirus	bovine viral diarrhea virus	2	4	mild	multisystemic	Bovidae	Bos	Artiodactyla	direct contact	Parenteral	Bovine Viral Diarrhoea	no	Europe	1946	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585287/
I	Adenoviridae	Mastadenovirus	canine adenovirus	2		lethal	multisystemic	Canidae	Vulpes	Carnivora	direct contact	orofecal, respiratory	infectious canine hepatitis	no	North America	1930	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114865/#bib1
IV	Coronaviridae	Alphacoronavirus	canine coronavirus	2		mild	gastroenteric	Canidae	Canis	Carnivora	direct contact	orofecal	Enteric canine coronavirus	no	worldwide	1971	https://www.sciencedirect.com/topics/veterinary-science-and-veterinary-medicine/canine-coronavirus
V	Paramyxoviridae	Morbillivirus	canine distemper virus	16		lethal	multisystemic	Canidae	Canis	Carnivora	direct contact	oronasal secretions	canine distemper	no	worldwide	1746	https://www.frontiersin.org/articles/10.3389/fmicb.2019.01982/full
I	Herpesviridae	Varicellovirus	canine herpesvirus	1		lethal	multisystemic	Canidae	Canis	Carnivora	direct contact	oronasal secretions	Canine Herpesviral Infection	no	worldwide	1965	https://www.merckvetmanual.com/generalized-conditions/canine-herpesviral-infection/overview-of-canine-herpesviral-infection
II	Parvoviridae	Protoparvovirus	canine parvovirus	3		lethal	multisystemic	Canidae	Canis	Carnivora	direct contact	orofecal	hemorragic gastroenteritis	no	worldwide	1970	https://pubmed.ncbi.nlm.nih.gov/21962408/
I	Herpesviridae	Varicellovirus	cervid herpesvirus	2	1	acute	ocular	Cervidae	Rangifer	Cervidae	direct contact	Parenteral	Infectious keratoconjunctivitis	no	europe	1980	https://pubmed.ncbi.nlm.nih.gov/20207086/
IV	Flaviviridae	Flavivirus	dengue virus	4		acute	vascular	Cercopithecidae	Macaca	Catharrhini	arthropod	Aedes	dengue	yes	africa, asia	1940	https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-018-2830-8
V	Filoviridae	Ebolavirus	ebola virus	Zaire	1	lethal	multisystemic	Pteropodidae	unknown	Hominidae	direct contact	secretions	ebola virus disease	yes	africa	1976	https://www.sciencedirect.com/science/article/abs/pii/S0966842X07001503
I	Herpesviridae	Proboscivirus	elephant endotheliotropic herpesvirus	14		acute	multisystemic	Elephantidae	Elephas	Elephantidae	direct contact	oronasal secretions	hemorrhagic disease	no	Asia	1995	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4765743/
